,x_ones,x_Mkt-RF,x_SMB,x_HML,y_exp_return
2019-02-26,1.0,-0.16,-0.64,-0.33,-2.033472353401223
2019-02-27,1.0,0.09,0.2,-0.12,-3.0252811641555253
2019-02-28,1.0,-0.31,0.02,-0.24,0.20295206722315995
2019-03-01,1.0,0.72,0.29,-0.4,0.6284824230897857
2019-03-04,1.0,-0.52,-0.4,0.37,-1.3181193494394692
2019-03-05,1.0,-0.17,-0.31,-0.23,0.5472651095346149
2019-03-06,1.0,-0.84,-1.27,0.05,-4.6472985216505975
2019-03-07,1.0,-0.82,-0.07,-0.33,-1.4815565638241788
2019-03-08,1.0,-0.22,0.04,-0.16,-0.32602760446599144
2019-03-11,1.0,1.49,0.36,-0.53,4.307214655664652
2019-03-12,1.0,0.25,-0.28,-0.09,2.2993654520001052
2019-03-13,1.0,0.68,-0.31,0.07,-0.47728697923961827
2019-03-14,1.0,-0.1,-0.4,0.3,-2.4042073825652786
2019-03-15,1.0,0.48,-0.26,-0.25,2.050602221685064
2019-03-18,1.0,0.46,0.16,0.44,-0.18075145536673098
2019-03-19,1.0,-0.09,-0.39,-0.93,11.818956989247301
2019-03-20,1.0,-0.39,0.02,-1.05,-1.162843219463646
2019-03-21,1.0,1.11,0.3,-1.23,8.5123951816961
2019-03-22,1.0,-2.17,-1.52,-0.07,-5.458976994188088
2019-03-25,1.0,-0.05,0.66,-0.25,-1.525880975156365
2019-03-26,1.0,0.76,0.17,0.46,-1.087162443973929
2019-03-27,1.0,-0.5,0.1,0.5,-3.12305655032434
2019-03-28,1.0,0.4,0.34,0.02,0.674005546254245
2019-03-29,1.0,0.66,-0.22,-0.92,1.8265985699299416
2019-04-01,1.0,1.19,-0.3,0.99,3.2815365890298978
2019-04-02,1.0,-0.05,-0.13,-0.44,1.4695120660781924
2019-04-03,1.0,0.27,0.22,-0.4,8.475983019677267
2019-04-04,1.0,0.19,0.21,0.93,0.23121190117174506
2019-04-05,1.0,0.52,0.53,-0.08,-0.38813891294110614
2019-04-08,1.0,0.08,-0.29,0.1,-1.562791106621576
2019-04-09,1.0,-0.65,-0.56,-0.14,-4.531559356748195
2019-04-10,1.0,0.48,0.97,-0.1,2.155933030636258
2019-04-11,1.0,0.0,-0.31,0.41,-0.1537262245359894
2019-04-12,1.0,0.65,-0.5,0.65,0.20590307292453924
2019-04-15,1.0,-0.09,-0.22,-0.53,-1.877147040003847
2019-04-16,1.0,0.13,0.12,0.7,2.185391083588283
2019-04-17,1.0,-0.32,-0.7,0.83,-1.5853688838165858
2019-04-18,1.0,0.11,-0.25,-0.51,0.6811623704603853
2019-04-22,1.0,0.11,-0.46,-0.56,1.7963583615875345
2019-04-23,1.0,0.97,0.72,-0.48,-0.7552128798689839
2019-04-24,1.0,-0.23,0.27,-0.07,1.7418762357788375
2019-04-25,1.0,-0.14,-0.75,-0.19,-2.820960164426057
2019-04-26,1.0,0.53,0.43,0.07,0.7853699008247605
2019-04-29,1.0,0.18,0.08,0.65,-0.69148720383161
2019-04-30,1.0,-0.04,-0.7,0.28,-0.22668967906741666
2019-05-01,1.0,-0.83,-0.1,-0.02,-2.9767876211758324
2019-05-02,1.0,-0.16,0.45,-0.27,5.511333752580097
2019-05-03,1.0,1.13,0.94,-0.27,-0.25644291236282746
2019-05-06,1.0,-0.39,0.6,-0.42,-2.8438662527499234
2019-05-07,1.0,-1.69,-0.28,0.5,-2.7807003164376196
2019-05-08,1.0,-0.22,-0.15,-0.32,1.6039043797332266
2019-05-09,1.0,-0.28,0.08,0.12,0.4339639394937457
2019-05-10,1.0,0.35,-0.37,0.08,2.7473396737781743
2019-05-13,1.0,-2.67,-0.73,0.28,-6.1606429530560245
2019-05-14,1.0,0.93,0.4,-0.02,4.1068534036833
2019-05-15,1.0,0.58,0.05,-0.96,0.9426845965817922
2019-05-16,1.0,0.91,-0.4,-0.32,1.5501019085035685
2019-05-17,1.0,-0.73,-0.8,0.29,-1.8297790957315394
2019-05-20,1.0,-0.65,-0.23,0.72,-2.9908170720880665
2019-05-21,1.0,0.9,0.43,-0.35,2.502244635045862
2019-05-22,1.0,-0.4,-0.52,-0.6,0.21037647204945953
2019-05-23,1.0,-1.37,-0.69,-0.28,-3.8397159536875467
